Q1,Q2,Q3,Q4,Q5,Q6,Timestamp
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 12:35:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 12:40:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 12:45:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 12:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 12:55:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 13:00:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 13:05:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 13:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 13:15:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 13:20:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 13:25:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 13:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 13:35:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 13:40:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 13:45:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 13:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 13:55:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 14:00:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 14:05:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 14:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 14:15:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 14:20:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 14:25:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 14:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 14:35:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 14:40:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 14:45:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 14:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 14:55:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 15:00:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 15:05:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 15:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 15:15:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 15:20:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 15:25:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 15:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 15:35:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 15:40:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 15:45:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 15:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 15:55:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 16:00:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 16:05:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 16:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 16:15:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 16:20:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 16:25:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 16:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 16:35:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 16:40:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 16:45:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 16:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 16:55:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 17:00:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 17:05:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 17:10:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 17:15:00
Yes,Never,Not at all,Yes,Yes,Very hopeful,2025-06-08 17:20:00
No,Always,Severely,No,No,Not hopeful,2025-06-08 17:25:00
Yes,Often,Moderately,Occasionally,Somewhat,Neutral,2025-06-08 17:30:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 17:35:00
Yes,Always,Severely,No,No,Not hopeful,2025-06-08 17:40:00
No,Never,Not at all,Yes,Somewhat,Very hopeful,2025-06-08 17:45:00
Yes,Often,Moderately,Occasionally,No,Neutral,2025-06-08 17:50:00
No,Sometimes,Slightly,Yes,Yes,Very hopeful,2025-06-08 17:55:00
