Q1,Q2,Q3,Q4,Q5,Q6,Timestamp
Always,No,Almost daily,Yes,Extremely,Maybe,2025-06-08 12:55:00
Never,Yes,Never,No,Not at all,Yes,2025-06-08 13:00:00
Sometimes,No,Occasionally,Yes,A little,No,2025-06-08 13:05:00
Often,Yes,Frequently,No,Significantly,Maybe,2025-06-08 13:10:00
Always,Prefer not to say,Almost daily,Yes,Extremely,Yes,2025-06-08 13:15:00
Never,No,Never,No,Not at all,No,2025-06-08 13:20:00
Sometimes,Yes,Occasionally,Yes,A little,Maybe,2025-06-08 13:25:00
Often,No,Frequently,Always,Significantly,Yes,2025-06-08 13:30:00
Always,Yes,Almost daily,No,Extremely,No,2025-06-08 13:35:00
Never,Prefer not to say,Never,Yes,Not at all,Maybe,2025-06-08 13:40:00
Sometimes,No,Occasionally,No,A little,Yes,2025-06-08 13:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 13:50:00
Always,No,Almost daily,Yes,Extremely,Maybe,2025-06-08 13:55:00
Never,Yes,Never,No,Not at all,Yes,2025-06-08 14:00:00
Sometimes,No,Occasionally,Yes,A little,No,2025-06-08 14:05:00
Often,Yes,Frequently,No,Significantly,Maybe,2025-06-08 14:10:00
Always,Prefer not to say,Almost daily,Yes,Extremely,Yes,2025-06-08 14:15:00
Never,No,Never,No,Not at all,No,2025-06-08 14:20:00
Sometimes,Yes,Occasionally,Yes,A little,Maybe,2025-06-08 14:25:00
Often,No,Frequently,Always,Significantly,Yes,2025-06-08 14:30:00
Always,Yes,Almost daily,No,Extremely,No,2025-06-08 14:35:00
Never,Prefer not to say,Never,Yes,Not at all,Maybe,2025-06-08 14:40:00
Sometimes,No,Occasionally,No,A little,Yes,2025-06-08 14:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 14:50:00
Always,No,Almost daily,Yes,Extremely,Maybe,2025-06-08 14:55:00
Never,Yes,Never,No,Not at all,Yes,2025-06-08 15:00:00
Sometimes,No,Occasionally,Yes,A little,No,2025-06-08 15:05:00
Often,Yes,Frequently,No,Significantly,Maybe,2025-06-08 15:10:00
Always,Prefer not to say,Almost daily,Yes,Extremely,Yes,2025-06-08 15:15:00
Never,No,Never,No,Not at all,No,2025-06-08 15:20:00
Sometimes,Yes,Occasionally,Yes,A little,Maybe,2025-06-08 15:25:00
Often,No,Frequently,Always,Significantly,Yes,2025-06-08 15:30:00
Always,Yes,Almost daily,No,Extremely,No,2025-06-08 15:35:00
Never,Prefer not to say,Never,Yes,Not at all,Maybe,2025-06-08 15:40:00
Sometimes,No,Occasionally,No,A little,Yes,2025-06-08 15:45:00
Often,Yes,Frequently,Always,Significantly,No,2025-06-08 15:50:00
Always,No,Almost daily,Yes,Extremely,Maybe,2025-06-08 15:55:00
