Q1,Q2,Q3,Q4,Q5,Q6,Recommendation,RecIcon,Effect,EffectIcon
*,*,*,Occasionally,Supported,Well,"Keep up your healthy habits and encourage friends to do the same.","🤗","Supporting others can boost your own well-being.","🌱"
Sometimes,Neutral,*,Sometimes,*,*,"Listen to calming music while studying and take regular breaks.","🎶","Music and breaks can help manage moderate stress.","🎵"
*,*,*,*,Very supported,Very well,"You are managing stress well! Consider mentoring a peer.","🌟","Helping others can reinforce your positive habits.","🤝"
*,Confident,Moderate,*,*,*,"Set clear goals for each study session and celebrate small wins.","🎯","Goal setting can reduce stress and improve focus.","🏅"
*,*,A little,*,*,*,"Try a new hobby or creative activity to unwind after studying.","🎨","Creative outlets can help relieve mild stress.","🖌️"
Often,*,*,Frequently,*,*,"Schedule downtime and avoid multitasking during study hours.","📅","Too much multitasking can increase stress.","🔄"
*,*,*,*,*,Very well,"Maintain your positive routines and share your strategies with friends.","💬","Sharing tips can help everyone manage stress.","👫"
*,*,*,*,*,A little,"Notice early signs of stress and take action before it builds up.","🔍","Early intervention can prevent bigger problems.","🚦"
*,*,*,*,*,*,"Practice the Pomodoro technique: study for 25 minutes, then take a 5-minute break.","⏲️","Short, focused sessions can improve concentration and reduce overwhelm.","🧠"
*,*,*,*,*,*,"Do a quick desk stretch every hour to release tension.","🤸","Stretching helps release built-up tension.","🦵"
*,*,*,*,*,*,"Organize your study space before starting to help you focus.","🗂️","A tidy space can help you focus and feel less stressed.","🧹"
*,*,*,*,*,*,"Try deep breathing exercises when you feel anxious about exams.","🌬️","Breathing techniques can quickly calm your nerves.","😌"
*,*,*,*,*,*,"Set a daily goal for your studies and reward yourself for achieving it.","🎯","Goal setting can boost motivation and reduce stress.","🏅"
*,*,*,*,*,*,"Use positive affirmations to build confidence before tests.","💬","Positive self-talk can reduce anxiety.","😊"
*,*,*,*,*,*,"Take a short walk outside to clear your mind during long study sessions.","🚶","Movement and fresh air can refresh your focus.","🌳"
*,*,*,*,*,*,"Write down your worries before bed to help you sleep better.","📝","Journaling can help process stress and improve sleep.","🌙"
*,*,*,*,*,*,"Break large assignments into smaller, manageable tasks.","🪜","Small steps make big projects less overwhelming.","🧩"
*,*,*,*,*,*,"Share your study tips with a friend or study group.","👫","Helping others can reinforce your own learning.","🤝"
