Q1,Q2,Q3,Q4,Q5,Recommendation,RecIcon,Effect,EffectIcon
*,*,*,*,*,"Create a family gratitude jar—each member adds a note daily about something positive.","🍯","Focusing on positives can improve family mood.","🌞"
*,*,*,*,*,"Schedule a weekly family game night to strengthen bonds.","🎲","Shared fun can reduce tension and build connection.","🤗"
*,*,*,*,*,"Practice active listening: repeat back what you hear before responding in family talks.","👂","Active listening reduces misunderstandings.","💬"
*,*,*,*,*,"Set clear family routines for meals and bedtime to create stability.","🕰️","Routine helps everyone feel secure.","🏡"
*,*,*,*,*,"Encourage each family member to share one thing they appreciate about another weekly.","💖","Appreciation builds trust and warmth.","🌟"
*,*,*,*,*,"Have a 'no devices' hour each evening for undistracted family time.","📵","Quality time improves relationships.","🕰️"
*,*,*,*,*,"Create a family vision board with shared goals and dreams.","🖼️","Shared goals foster unity and motivation.","🚀"
*,*,*,*,*,"Rotate chores so everyone feels included and valued.","🧹","Shared responsibility reduces resentment.","🤝"
*,*,*,*,*,"Start family meetings to discuss issues and celebrate successes together.","📅","Open communication prevents problems from building up.","📢"
*,*,*,*,*,"Practice a calming ritual together, like deep breathing before dinner.","🌬️","Shared relaxation lowers stress for all.","😌"
