Q1,Q2,Q3,Q4,Q5,Q6,Timestamp
Often,Neutral,Low,Frequently,No,Very well,2025-06-08 10:13:00
Always,Anxious,Moderate,Always,Supported,Well,2025-06-08 10:14:00
Never,Very stressed,High,Never,Yes,Neutral,2025-06-08 10:15:00
Rarely,Confident,Low,Occasionally,No,Poorly,2025-06-08 10:16:00
Sometimes,Neutral,Moderate,Sometimes,Supported,Very poorly,2025-06-08 10:17:00
Often,Anxious,High,Frequently,Yes,Very well,2025-06-08 10:18:00
Always,Very stressed,Low,Always,No,Well,2025-06-08 10:19:00
Never,Confident,Moderate,Never,Supported,Neutral,2025-06-08 10:20:00
Rarely,Neutral,High,Occasionally,Yes,Poorly,2025-06-08 10:21:00
Sometimes,Anxious,Low,Sometimes,No,Very poorly,2025-06-08 10:22:00
Often,Very stressed,Moderate,Frequently,Supported,Very well,2025-06-08 10:23:00
Always,Confident,High,Always,Yes,Well,2025-06-08 10:24:00
Never,Neutral,Low,Never,No,Neutral,2025-06-08 10:25:00
Rarely,Anxious,Moderate,Occasionally,Supported,Poorly,2025-06-08 10:26:00
Sometimes,Very stressed,High,Sometimes,Yes,Very poorly,2025-06-08 10:27:00
Often,Confident,Low,Frequently,No,Very well,2025-06-08 10:28:00
Always,Neutral,Moderate,Always,Supported,Well,2025-06-08 10:29:00
Never,Anxious,High,Never,Yes,Neutral,2025-06-08 10:30:00
Rarely,Very stressed,Low,Occasionally,No,Poorly,2025-06-08 10:31:00
Sometimes,Confident,Moderate,Sometimes,Supported,Very poorly,2025-06-08 10:32:00
Often,Neutral,High,Frequently,Yes,Very well,2025-06-08 10:33:00
Always,Anxious,Low,Always,No,Well,2025-06-08 10:34:00
Never,Very stressed,Moderate,Never,Supported,Neutral,2025-06-08 10:35:00
Rarely,Confident,High,Occasionally,Yes,Poorly,2025-06-08 10:36:00
Sometimes,Neutral,Low,Sometimes,No,Very poorly,2025-06-08 10:37:00
Often,Anxious,Moderate,Frequently,Supported,Very well,2025-06-08 10:38:00
Always,Very stressed,High,Always,Yes,Well,2025-06-08 10:39:00
